3/26/2019,@KrsShishir,"Distribute ur own money in free Mr. @RahulGandhi not our, it’s our tax money not urs. You are even not paying proper taxes. #LokSabhaElections2019 #GeneralElections2019 #LokSabhaElection2019 @INCIndia @narendramodi @BJP4India",1,11,,positive
3/26/2019,@aartivyaspatel,“Somewhere inside of all of us is the power to change the world.” - Roald Dahl Do vote.. #LokSabhaElections2019 #LokSabhaElection2019 #VoteKar,10487,530,"Ahmadabad City, India",negative
3/26/2019,@AIKDigital,#BREAKING @imtiaz_jaleel will be #AIMIM’s candidate for the #Aurangabad #LokSabhaElection2019,1410,3410,"Mumbai, India",negative
3/26/2019,@skarthikdotin,The other parties should file more independents candidates and demand the same symbol this token’s demanding.. #LokSabhaElection2019,1828,1492,"Tamil Nadu, India",negative
3/26/2019,@SyedSohailQuad2,"#InshaAllah after completing #campaigning in Hyderabad #Telangana. #AIMIM chief Barrister #Asaduddin_Owaisi_Saab will leave schedule wise to #Andhra , #Bihar , #Maharashtra, #Karnataka and #Uttar_Pradesh ... Wait for Schedule And More Updates #LokSabhaElection2019",68,214,Jedcherla,positive
3/26/2019,@Lpastey,Luru south contestant is 😍#LokSabhaElection2019,6239,155,,negative
3/26/2019,@pidi24_,4th generation “Garibi Hatao” If its still not eliminated thn it means either there were no Garibs or there were no serious intentions. Garibs are there still hence Intentions were not there... Vote wisely #LokSabhaElection2019,529,422,Akbar Road,positive
3/26/2019,@drsheikhRSS,There is a big difference in what #Congress says and what it does & no place can explain this better than poverty trapped #Amethi. #MinimumGuaranteeIncome #LokSabhaElection2019,8243,377,India,negative
3/26/2019,@BahetiAbhishek,"this is absurd, this is not discotheque @narendramodi that you put these kind of youngsters like @Tejasvi_Surya into it, this country belongs to born leaders like @yadavtejashwi @yadavakhilesh @KartiPC the people of this country will never forgive you #LokSabhaElection2019",101,288,"Jaipur, India",negative
3/26/2019,@imAbelwal,"Giriraj Singh, BJP: My self respect is hurt that no other MP's seat was changed in Bihar. It was decided without talking to me. State BJP leadership should tell me why was it done. I've nothing against Begusarai but I can't compromise with my self respect. #LokSabhaElection2019",201,545,"New Delhi, India",negative
3/26/2019,@gauravwankhede,Whatever happens in #2019GeneralElections #ElectionsWithNews18 @ichiragpaswan and @irvpaswan and @RamdasAthawale will be part of the cabinet. They are with everyone... As long as they are in power. #LokSabhaElections2019 #LokSabhaElection2019,1199,1817,"Melbourne, Victoria",negative
3/26/2019,@AIKDigital,"Giriraj Singh, BJP: My self respect is hurt that no other MP's seat was changed in Bihar. It was decided without talking to me. State BJP leadership should tell me why was it done. I've nothing against Begusarai but I can't compromise with my self respect. #LokSabhaElection2019",1410,3410,"Mumbai, India",negative
3/26/2019,@saeemhaske,"Release of the Modi Biopic is nothing short of an election gimmick. Why the release just before elections? Election Commission should take some action,how are we supposed to believe in transparency of the system? #LokSabhaElection2019 #ModiBiopic",88,240,,negative
3/26/2019,@hard_22,"Good to see #bjp inducting youth in politics glad that tejswi surya contesting from unban Bangalore south, congress must learn now #LokSabhaElection2019",100,364,,positive
3/26/2019,@prasheelanand,"When 250 turmeric farmers file their nomination for #Nizamabad LS seat, it is a strong indication that all is not well behind the ‘rosy’ picture painted by the state govt. #LokSabhaElection2019 #Farmers",34,132,"Hyderabad, India",positive
3/26/2019,@ootzchakra,"Folks voting in #LokSabhaElection2019 Do you think Congress leader and #RahulGandhi 's mentor #SamPitroda's comments, absolving #Pakistan of it's role in supporting terror attacks in India, will",943,200,Washington DC,negative
3/26/2019,@Naven_Selva,Who will win the #LokSabhaElection2019 in #TamilNadu ? #DMKAlliance #AIADMK #BJPFirstList #NaamTamizhar #MakkalNeedhiMaiam #KamalHaasan #AnbumaniRamadoss #AMMK #Seeman #NarendraModi #Thalaivar #MKStalin #RahulTakingIndiaForward,44,216,"Sitiawan, Perak",positive
3/26/2019,@MyCyberIndia,Earlier reservation used to be tool to win election now freebies are new tool for last couple of decade. #LokSabhaElection2019 @INCIndia @BJP4India @samajwadiparty #Socialism,0,5,,positive
3/26/2019,@karnatakacom,Who is Ashwat Narain? #BangaloreRural #LokSabhaElection2019,23430,846,Bengaluru,negative
3/26/2019,@nakib1187,Support and vote for the party who is really working and showing good work start from your locality if they are building gutters and maintaining cleanliness. .water supply is abundant there is no electricity cut off #2019Elections #LokSabhaElection2019,129,581,Qatar,positive
3/26/2019,@BrarGurmat,"By introducing the #MinimumIncomeGurantee as a policy plan, @RahulGandhi has again shifted the agenda back to rural distress. It is important for the opposition to keep hitting economy and jobs, as that’s driving anti-incumbency #LokSabhaElection2019 are getting interesting",198,291,"Abohar, India",negative
3/25/2019,@Indianism08,"The day in India where political rallies will take place on live TV and not on public grounds this saving tax payers money, time and convenience will be the day I believe mera bharat badal raha hai. #LokSabhaElection2019 #IndiaElectionWatch",73,482,,positive
3/25/2019,@aginner_,My country is more imp compared to IPL. Hence my tweets will be limited to politics and current affairs. Thank you #LokSabhaElection2019,387,446,,negative
3/25/2019,@vikram140gulati,Its but natural that the #EC shouldn't allow a film on #Modi to release till elections are over #LokSabhaElection2019 - level playing field,562,910,"New Delhi, India",negative
3/25/2019,@dhillonsid,Another desperate attempt by @RahulGandhi today to get votes in #LokSabhaElection2019 Distributing Rs 72K per year to economic weaker section group rather than making them capable to stand on their on feet and make their future bright. Wah re Pappu. #bjp4newindia,35,36,"Pforzheim, Deutschland",positive
3/25/2019,@_JitendraVarma,The JNU terrorist who Injured VC's Wife should be arrested and booked under severe IPC. #JNU #VoteKar #BREAKING #JNUMOB #LokSabhaElections2019 #LokSabhaElection2019 #MainBhiChowkidar #,326,295,India,negative
3/25/2019,@aginner_,"Con-Party can only assume power with grand alliance. The alliance is nowhere in place. Hence, no completion for Modi. He’ll win hands down in #LokSabhaElection2019",387,446,,positive
3/25/2019,@ShivmGhatk,Political gimmick raised by @INCIndia ahead of the #LokSabhaElection2019. Congress's policies has always been 'spoon feeding' & not empowerment. This has weakened India in the long run &amp; they still want to continue this for the sake of votes. #NyayForIndia #MinimumIncomeGuarantee,27,29,"Jamshedpur, India",negative
3/25/2019,@AakashV82545552,Since @RahulGandhi ji has announced #MinimumIncomeGuarantee . All the @BJP4India & bhakths are providing you details what @INCIndia had done is past 70 Years. Make sure you dont miss any . Reality over lies ✌🏼 #LokSabhaElection2019 #RahulForBehtarBharat,12,33,"Jodhpur, India",negative
3/25/2019,@amolgbakshi,See that’s how #rupee is going down. They promised #15lakhs and you are offering #72thousands #india #LokSabha2019 #LokSabhaElection2019 @RahulGandhi @narendramodi #bjp #congress,143,140,"Pune, India",positive
3/25/2019,@yagya_018,"It's absolutely stupid of @nsitharaman to compare the response in26/11 n #PulwamaAttack. Ever after @nitin_gadkari said that no party should politicise #airstrike s, our #Chowkidar defence minister continues to do so. #LokSabhaElections2019 #LokSabhaElection2019 #BJP #congress",49,91,"Uttarakhand, India",negative
3/25/2019,@NagalingSM,"This is a killer Statistics.. In 2014, #RCB got all out for 70 & #BJP won 282 seats In 2019 too, #RCB got all out for 70...... #PM #LokSabhaElection2019 #RCB #ModiAgain2019",9,37,,negative
3/25/2019,@bharatkatyayan,"Vote is the most powerful tool in our democracy, use it to protect our nation. Vote for modi. @Pushesh1 @vishalisonnet @AnkitSancheti45 @narendramodi @AmitShah #bharatkatyayan #LokSabhaElections2019 #IndiaElects #LokSabhaElection2019",850,99,"Gurgaon, India",positive
3/25/2019,@tafheemyousuf,With the #LokSabhaElection2019 just 15 days away a person who remained at helm of Chief Minister for 15 years What makes people think that he will remain prime minister for just 5 With such experience he might remain at the prime position for more than 15 by hook or by crook,287,160,"Dhaka, Bangladesh",negative
3/25/2019,@aartivyaspatel,"“If you don’t vote, you lose the right to complain.” - George Carlin Let's vote and strengthen up our democracy.. #LokSabhaElections2019 #LokSabhaElection2019 #VoteKar",10487,530,"Ahmadabad City, India",negative
3/25/2019,@slensesclicks,#PMNarendraModiTrailer a master stroke to hit the #modelcodeofconduct straight out of the park #LokSabhaElection2019 #GeneralElections2019,176,171,,positive
3/25/2019,@TheSanghiGuy,#LokSabhaElection2019 #Bihar #NDA ~ 35-37 Seats #BJP ~ 16 #JDU ~ 13-15 #LJP ~ 6,218,313,"पुणे,भारत/हिंदुस्तान/आर्यावर्त",negative
3/25/2019,@Raghvarma,Whichever party or parties comes to power there should be a Deputy PM from South. #Elections2019 #LokSabhaElection2019 #SouthIndia #Telangana #DeputyPM,778,1294,Hyderabad/Telangana/India,negative
3/25/2019,@Divya_Bhaskar,Delhi: Nationalist Congress Party (NCP) releases their election manifesto for the #LokSabhaElections2019 #loksabha #election2019 #election #india #politics #politicians #national #delhi #LokSabhaElection2019 source ANI,205504,266,India,negative
